REMIND index;scenario variable;dataset name;dataset reference product;dataset unit;share
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car and SUV|Gases|Hydrogen;compressed gas, synthetic, burned in passenger car;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car and SUV|Hydrogen;hydrogen, used in a fuel cell in a passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car and SUV|Liquids|Biomass;biodiesel, burned in passenger car;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car and SUV|Liquids|Fossil;petrol, burned in passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car and SUV|Liquids|Hydrogen;diesel, synthetic, burned in passenger car;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car|Electricity;electricity, used in passenger car;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car|Gases|Biomass;biomethane, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car|Gases|Fossil;compressed gas, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car|Gases|Hydrogen;compressed gas, synthetic, burned in passenger car;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car|Hydrogen;hydrogen, used in a fuel cell in a passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car|Liquids|Biomass;biodiesel, burned in passenger car;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car|Liquids|Fossil;petrol, burned in passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car|Liquids|Hydrogen;diesel, synthetic, burned in passenger car;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Van|Electricity;electricity, used in passenger car;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Van|Gases|Biomass;biomethane, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Van|Gases|Fossil;compressed gas, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Van|Gases|Hydrogen;compressed gas, synthetic, burned in passenger car;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Van|Hydrogen;hydrogen, used in a fuel cell in a passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Van|Liquids|Biomass;biodiesel, burned in passenger car;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Van|Liquids|Fossil;petrol, burned in passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Van|Liquids|Hydrogen;diesel, synthetic, burned in passenger car;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Compact Car|Electricity;electricity, used in passenger car;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Compact Car|Gases|Biomass;biomethane, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Compact Car|Gases|Fossil;compressed gas, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Compact Car|Gases|Hydrogen;compressed gas, synthetic, burned in passenger car;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Compact Car|Hydrogen;hydrogen, used in a fuel cell in a passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Compact Car|Liquids|Biomass;biodiesel, burned in passenger car;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Compact Car|Liquids|Fossil;petrol, burned in passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Compact Car|Liquids|Hydrogen;diesel, synthetic, burned in passenger car;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Midsize Car|Electricity;electricity, used in passenger car;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Midsize Car|Gases|Biomass;biomethane, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Midsize Car|Gases|Fossil;compressed gas, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Midsize Car|Gases|Hydrogen;compressed gas, synthetic, burned in passenger car;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Midsize Car|Hydrogen;hydrogen, used in a fuel cell in a passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Midsize Car|Liquids|Biomass;biodiesel, burned in passenger car;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Midsize Car|Liquids|Fossil;petrol, burned in passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Medium|Midsize Car|Liquids|Hydrogen;diesel, synthetic, burned in passenger car;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Mini Car|Electricity;electricity, used in passenger car;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Mini Car|Gases|Biomass;biomethane, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Mini Car|Gases|Fossil;compressed gas, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Mini Car|Gases|Hydrogen;compressed gas, synthetic, burned in passenger car;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Mini Car|Hydrogen;hydrogen, used in a fuel cell in a passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Mini Car|Liquids|Biomass;biodiesel, burned in passenger car;heat;megajoule;regional
